# version: 0.0.1
# source: https://github.com/sublee/jyutping-data
U+3400: jau  # 㐀
U+3401: tim  # 㐁
U+3402: hei  # 㐂
U+3405: ng  # 㐅
U+3406: zaan  # 㐆
U+340C: ji  # 㐌
U+3416: zip  # 㐖
U+341C: caau  # 㐜
U+3421: no  # 㐡
U+3424: kaau  # 㐤
U+3427: dai  # 㐧
U+3428: zeoi  # 㐨
U+3429: zing  # 㐩
U+342B: gun,hung,zung  # 㐫
U+342C: lau  # 㐬
U+342D: lam  # 㐭
U+342E: soeng  # 㐮
U+342F: jung  # 㐯
U+3430: seon  # 㐰
U+3431: caa,caan,dou,zaan  # 㐱
U+3432: daai  # 㐲
U+3433: ngaat  # 㐳
U+3434: paan  # 㐴
U+3435: jyu  # 㐵
U+3437: maa  # 㐷
U+3438: gim,him  # 㐸
U+3439: go,kwok,ngaat  # 㐹
U+343A: zung  # 㐺
U+343B: fu,mou,noi  # 㐻
U+343C: cing  # 㐼
U+343D: fung  # 㐽
U+3440: taai  # 㑀
U+3441: zyut  # 㑁
U+3442: fong,pong  # 㑂
U+3443: au,paai  # 㑃
U+3444: mou  # 㑄
U+3445: zok  # 㑅
U+3447: zaau  # 㑇
U+3448: dung  # 㑈
U+3449: cuk  # 㑉
U+344A: zik  # 㑊
U+344B: kung  # 㑋
U+344C: hong  # 㑌
U+344D: leoi  # 㑍
U+344E: nou  # 㑎
U+344F: cyu,zyu  # 㑏
U+3450: suk  # 㑐
U+3454: seoi  # 㑔
U+3457: saan  # 㑗
U+3458: gaai  # 㑘
U+3459: dip  # 㑙
U+345A: naa,no  # 㑚
U+345B: cuk  # 㑛
U+345C: zaai  # 㑜
U+345D: lung  # 㑝
U+345E: zing  # 㑞
U+345F: mang  # 㑟
U+3463: lam  # 㑣
U+3464: miu  # 㑤
U+3465: zi  # 㑥
U+3466: leoi  # 㑦
U+3467: gwai  # 㑧
U+3468: zyu  # 㑨
U+3469: lo  # 㑩
U+346A: caai  # 㑪
U+346E: gwaat,waan  # 㑮
U+346F: seoi  # 㑯
U+3470: fui  # 㑰
U+3471: nau  # 㑱
U+3473: zaau  # 㑳
U+3474: caam,cam  # 㑴
U+3475: zat  # 㑵
U+3476: haai,hei  # 㑶
U+3477: taai  # 㑷
U+3478: ziu  # 㑸
U+3479: gwat,mok,wui  # 㑹
U+347A: zeoi,zeon  # 㑺
U+347B: maa,mei  # 㑻
U+347C: loek  # 㑼
U+347D: tong  # 㑽
U+347E: ziu  # 㑾
U+347F: coek,huk,zau,ziu  # 㑿
U+3480: cim,cip,zak  # 㒀
U+3481: sou,zyu  # 㒁
U+3482: zoek  # 㒂
U+3483: zi  # 㒃
U+3484: ngam,zim  # 㒄
U+3485: kai  # 㒅
U+3486: kap  # 㒆
U+3487: ng  # 㒇
U+3488: hon  # 㒈
